iter	Passed	Remaining
145	287	1684
146	290	1682
147	292	1681
148	294	1679
149	295	1675
150	297	1672
151	299	1670
152	301	1670
153	303	1668
154	305	1664
155	306	1657
156	308	1655
157	310	1652
158	311	1649
159	313	1647
160	316	1649
161	318	1649
162	320	1645
163	321	1641
164	323	1637
165	325	1634
166	326	1630
167	329	1629
168	331	1627
169	333	1627
170	335	1625
171	337	1623
172	339	1621
173	341	1619
174	343	1617
175	345	1616
176	347	1615
177	348	1611
178	350	1607
179	351	1602
180	353	1599
181	355	1596
182	356	1593
183	358	1589
184	360	1588
185	362	1585
186	364	1582
187	365	1578
188	367	1576
189	369	1574
190	371	1573
191	373	1572
192	376	1572
193	378	1571
194	379	1568
195	381	1566
196	384	1565
197	385	1563
198	387	1560
199	389	1558
200	391	1555
201	392	1552
202	394	1548
203	396	1545
204	399	1548
205	401	1546
206	402	1542
207	404	1539
208	406	1538
209	408	1536
210	409	1531
211	411	1529
212	413	1528
213	415	1527
214	418	1526
215	420	1526
216	422	1524
217	425	1527
218	427	1526
219	430	1524
220	431	1522
221	434	1522
222	436	1521
223	438	1519
224	441	1519
225	443	1517
226	444	1514
227	446	1511
228	448	1511
229	450	1508
230	452	1506
231	454	1503
232	456	1503
233	458	1501
234	460	1498
235	461	1495
236	464	1494
237	466	1492
238	468	1490
239	469	1487
240	472	1486
241	474	1485
242	476	1482
243	478	1481
244	480	1480
245	481	1477
246	483	1474
247	485	1470
248	487	1468
249	488	1465
250	490	1462
251	491	1459
252	494	1459
253	496	1457
254	497	1454
255	499	1451
256	501	1449
257	503	1447
258	504	1444
259	506	1441
260	509	1442
261	511	1440
262	513	1439
263	515	1438
264	517	1436
265	519	1433
266	521	1431
267	523	1429
268	525	1427
269	527	1425
270	529	1423
271	530	1421
272	533	1419
273	535	1417
274	537	1415
275	539	1416
276	541	1413
277	543	1410
278	544	1407
279	546	1405
280	547	1401
281	549	1398
282	551	1396
283	553	1395
284	555	1393
285	556	1389
286	557	1385
287	559	1383
288	561	1382
289	563	1380
290	565	1378
291	567	1376
292	569	1374
293	571	1372
294	573	1369
295	574	1366
296	576	1364
297	578	1362
298	579	1359
299	581	1357
300	583	1355
301	585	1352
302	586	1350
303	588	1347
304	590	1345
305	592	1343
306	593	1340
307	595	1337
308	597	1335
309	598	1332
310	600	1329
311	601	1327
312	603	1325
313	605	1323
314	607	1321
315	609	1319
316	611	1318
317	614	1316
318	616	1315
319	618	1313
320	620	1312
321	622	1310
322	623	1307
323	626	1307
324	628	1306
325	630	1303
326	632	1301
327	633	1298
328	635	1296
329	636	1293
330	638	1290
331	640	1288
332	642	1286
333	643	1283
334	645	1281
335	647	1280
336	649	1278
337	650	1274
338	652	1272
339	654	1270
340	656	1269
341	658	1267
342	660	1265
343	662	1262
344	663	1260
345	665	1258
346	667	1255
347	669	1253
348	671	1252
349	673	1250
350	674	1248
351	676	1245
352	678	1244
353	680	1242
354	682	1239
355	684	1237
356	686	1235
357	687	1233
358	689	1230
359	690	1227
360	692	1226
361	694	1223
362	695	1221
363	697	1218
364	699	1217
365	701	1215
366	704	1214
367	705	1212
368	707	1210
369	709	1208
370	711	1205
371	712	1203
372	715	1202
373	716	1199
374	718	1197
375	720	1195
376	722	1193
377	724	1191
378	726	1190
379	728	1188
380	731	1187
381	732	1185
382	734	1183
383	736	1181
384	738	1179
385	740	1177
386	742	1175
387	744	1174
388	746	1172
389	748	1170
390	750	1168
391	752	1166
392	754	1164
393	756	1162
394	758	1161
395	760	1160
396	762	1158
397	764	1156
398	765	1152
399	767	1151
400	769	1149
401	771	1147
402	773	1145
403	775	1143
404	776	1141
405	778	1139
406	780	1136
407	783	1136
408	785	1135
409	788	1134
410	790	1132
411	792	1130
412	793	1128
413	795	1126
414	798	1125
415	800	1123
416	802	1122
417	805	1121
418	807	1119
419	809	1118
420	812	1117
421	814	1115
422	816	1113
423	818	1112
424	820	1110
425	822	1108
426	823	1105
427	826	1104
428	827	1101
429	829	1099
430	831	1097
431	833	1095
432	835	1093
433	837	1091
434	839	1089
435	841	1088
436	843	1086
437	845	1084
438	846	1081
439	848	1080
440	851	1078
441	853	1076
442	854	1074
443	856	1073
444	858	1071
445	860	1068
446	862	1066
447	864	1065
448	866	1063
449	868	1061
450	870	1059
451	871	1056
452	873	1054
453	874	1051
454	876	1049
455	878	1048
456	880	1046
457	882	1044
458	883	1041
459	886	1040
460	888	1038
461	889	1035
462	891	1033
463	893	1031
464	895	1030
465	897	1028
466	899	1026
467	900	1024
468	902	1021
469	904	1019
470	905	1017
471	906	1014
472	908	1012
473	910	1010
474	911	1007
475	913	1005
476	914	1003
477	916	1000
478	918	998
479	919	996
480	921	994
481	924	993
482	925	991
483	927	988
484	928	986
485	930	984
486	932	982
487	934	980
488	935	977
489	937	975
490	939	973
491	941	971
492	942	969
493	943	966
494	946	965
495	947	963
496	949	961
497	951	958
498	953	956
499	954	954
500	956	952
501	958	950
502	960	949
503	962	947
504	964	945
505	966	943
506	968	941
507	969	939
508	971	936
509	972	934
510	974	932
511	977	931
512	979	929
513	980	927
514	982	925
515	984	923
516	986	921
517	987	918
518	988	916
519	990	914
520	992	912
521	995	911
522	997	910
523	1005	913
524	1007	911
525	1010	910
526	1013	909
527	1016	908
528	1020	908
529	1022	906
530	1024	904
531	1025	902
532	1028	900
533	1030	898
534	1031	896
535	1034	895
536	1036	893
537	1038	891
538	1039	889
539	1041	887
540	1043	885
541	1045	883
542	1047	881
543	1049	879
544	1051	877
545	1053	875
546	1055	873
547	1056	871
548	1059	870
549	1061	868
550	1063	866
551	1065	864
552	1067	862
553	1068	860
554	1070	858
555	1072	856
556	1074	854
557	1075	852
558	1077	850
559	1079	848
560	1081	846
561	1082	843
562	1084	841
563	1085	839
564	1087	837
565	1089	835
566	1092	833
567	1094	832
568	1096	830
569	1097	828
570	1099	826
571	1101	824
572	1103	822
573	1105	820
574	1106	818
575	1108	816
576	1110	814
577	1112	812
578	1113	809
579	1115	807
580	1118	806
581	1120	804
582	1122	802
583	1123	800
584	1125	798
585	1127	796
586	1129	794
587	1130	792
588	1132	790
589	1134	788
590	1135	785
591	1137	783
592	1138	781
593	1140	779
594	1141	777
595	1143	775
596	1145	773
597	1147	771
598	1149	769
599	1151	767
600	1152	765
601	1154	763
602	1156	761
603	1157	759
604	1159	756
605	1160	754
606	1163	753
607	1164	751
608	1166	748
609	1167	746
610	1169	744
611	1171	742
612	1173	740
613	1175	738
614	1176	736
615	1178	734
616	1180	732
617	1181	730
618	1182	728
619	1184	725
620	1185	723
621	1187	721
622	1189	719
623	1190	717
624	1192	715
625	1194	713
626	1196	711
627	1198	710
628	1200	708
629	1202	706
630	1204	704
631	1207	702
632	1209	701
633	1211	699
634	1212	697
635	1214	695
636	1216	693
637	1217	691
638	1219	689
639	1222	687
640	1223	685
641	1225	683
642	1227	681
643	1229	679
644	1231	677
645	1233	675
646	1234	673
647	1236	671
648	1238	669
649	1239	667
650	1241	665
651	1243	663
652	1245	661
653	1246	659
654	1248	657
655	1249	655
656	1252	653
657	1254	651
658	1256	650
659	1257	647
660	1259	646
661	1261	644
662	1263	642
663	1265	640
664	1267	638
665	1269	636
666	1270	634
667	1272	632
668	1273	630
669	1275	628
670	1277	626
671	1278	624
672	1280	622
673	1282	620
674	1284	618
675	1286	616
676	1288	614
677	1289	612
678	1291	610
679	1292	608
680	1294	606
681	1296	604
682	1298	602
683	1300	600
684	1302	598
685	1303	596
686	1305	594
687	1307	592
688	1308	590
689	1311	589
690	1312	586
691	1314	584
692	1315	582
693	1318	581
694	1319	579
695	1321	577
696	1322	575
697	1324	573
698	1326	571
699	1328	569
700	1329	567
701	1331	565
702	1333	563
703	1335	561
704	1336	559
705	1338	557
706	1340	555
707	1342	553
708	1344	551
709	1345	549
710	1347	547
711	1349	545
712	1350	543
713	1353	541
714	1355	540
715	1356	538
716	1358	536
717	1359	533
718	1360	531
719	1362	529
720	1363	527
721	1365	525
722	1367	523
723	1369	522
724	1372	520
725	1374	518
726	1376	516
727	1380	515
728	1381	513
729	1383	511
730	1386	510
731	1388	508
732	1390	506
733	1391	504
734	1394	502
735	1396	500
736	1397	498
737	1400	497
738	1401	495
739	1403	493
740	1404	491
741	1406	489
742	1408	487
743	1410	485
744	1411	483
745	1413	481
746	1415	479
747	1417	477
748	1419	475
749	1421	473
750	1423	472
751	1425	470
752	1427	468
753	1430	466
754	1432	464
755	1434	462
756	1436	461
757	1438	459
758	1440	457
759	1442	455
760	1444	453
761	1446	451
762	1448	450
763	1451	448
764	1453	446
765	1455	444
766	1457	442
767	1459	440
768	1461	439
769	1463	437
770	1465	435
771	1467	433
772	1469	431
773	1471	429
774	1473	427
775	1475	425
776	1477	424
777	1479	422
778	1481	420
779	1483	418
780	1485	416
781	1486	414
782	1488	412
783	1490	410
784	1492	408
785	1493	406
786	1496	404
787	1497	403
788	1499	401
789	1501	399
790	1503	397
791	1505	395
792	1507	393
793	1509	391
794	1511	389
795	1513	387
796	1515	386
797	1517	384
798	1519	382
799	1520	380
800	1522	378
801	1524	376
802	1526	374
803	1528	372
804	1529	370
805	1531	368
806	1534	366
807	1536	365
808	1538	363
809	1541	361
810	1542	359
811	1544	357
812	1546	355
813	1548	353
814	1551	352
815	1553	350
816	1555	348
817	1557	346
818	1559	344
819	1561	342
820	1564	341
821	1566	339
822	1568	337
823	1570	335
824	1571	333
825	1573	331
826	1575	329
827	1577	327
828	1579	325
829	1581	323
830	1582	321
831	1584	319
832	1586	317
833	1588	316
834	1589	314
835	1592	312
836	1594	310
837	1596	308
838	1597	306
839	1599	304
840	1601	302
841	1603	300
842	1604	298
843	1606	296
844	1608	295
845	1610	293
846	1612	291
847	1613	289
848	1616	287
849	1618	285
850	1620	283
851	1622	281
852	1624	279
853	1626	278
854	1627	276
855	1630	274
856	1631	272
857	1633	270
858	1635	268
859	1636	266
860	1639	264
861	1640	262
862	1642	260
863	1644	258
864	1647	257
865	1649	255
866	1651	253
867	1653	251
868	1655	249
869	1657	247
870	1658	245
871	1660	243
872	1662	241
873	1663	239
874	1665	237
875	1668	236
876	1670	234
877	1672	232
878	1674	230
879	1676	228
880	1677	226
881	1679	224
882	1681	222
883	1683	220
884	1684	218
885	1686	216
886	1687	215
887	1689	213
888	1691	211
889	1692	209
890	1694	207
891	1696	205
892	1699	203
893	1701	201
894	1703	199
895	1705	197
896	1707	196
897	1709	194
898	1711	192
899	1713	190
900	1715	188
901	1717	186
902	1719	184
903	1720	182
904	1722	180
905	1723	178
906	1725	176
907	1728	175
908	1730	173
909	1732	171
910	1734	169
911	1737	167
912	1739	165
913	1744	164
914	1747	162
915	1750	160
916	1753	158
917	1756	156
918	1758	155
919	1760	153
920	1762	151
921	1764	149
922	1766	147
923	1767	145
924	1769	143
925	1771	141
926	1774	139
927	1775	137
928	1778	135
929	1780	133
930	1782	132
931	1783	130
932	1786	128
933	1788	126
934	1789	124
935	1791	122
936	1793	120
937	1795	118
938	1796	116
939	1798	114
940	1800	112
941	1802	110
942	1804	109
943	1805	107
944	1807	105
945	1809	103
946	1811	101
947	1813	99
948	1815	97
949	1817	95
950	1819	93
951	1820	91
952	1822	89
953	1824	87
954	1826	86
955	1828	84
956	1830	82
957	1832	80
958	1833	78
959	1835	76
960	1837	74
961	1840	72
962	1842	70
963	1844	68
964	1846	66
965	1849	65
966	1851	63
967	1853	61
968	1855	59
969	1857	57
970	1858	55
971	1861	53
972	1862	51
973	1864	49
974	1866	47
975	1868	45
976	1870	44
977	1872	42
978	1873	40
979	1876	38
980	1878	36
981	1879	34
982	1881	32
983	1883	30
984	1884	28
985	1886	26
986	1888	24
987	1890	22
988	1893	21
989	1895	19
990	1897	17
991	1898	15
992	1900	13
993	1901	11
994	1903	9
995	1904	7
996	1907	5
997	1909	3
998	1912	1
999	1914	0
